Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2024-02-26,400.5118713378906,405.05219339501383,400.33495269298504,404.36425308702184,16193500
2024-02-27,400.452880859375,401.2783911773055,396.8854766342273,400.9540653434054,14835800
2024-02-28,400.6888427734375,402.2415823725331,398.3302369307845,401.14090164538175,13183100
2024-02-29,406.5067138671875,407.05705416129825,398.9198455368932,401.59293981884394,31947300
2024-03-01,408.3346252441406,408.6982397267373,403.7943028017663,404.17756158377745,17823400
2024-03-04,407.7646484375,410.1527354833861,405.2094798738606,406.31016048803207,17596000
2024-03-05,395.70623779296875,407.1062001502952,393.7309209213856,406.821192843755,26919200
2024-03-06,395.1558532714844,398.1729175476419,391.51967869638725,396.0206822488724,22344100
2024-03-07,402.08428955078125,402.71323699020854,395.30325783772497,399.11635103541613,18718500
2024-03-08,399.2146301269531,403.34221201538827,397.357209279769,400.9246137706761,18002200
2024-03-11,397.5439147949219,398.68391382966877,394.34015491255184,396.7970416276203,16120800
2024-03-12,408.118408203125,408.4034154899357,399.7748296289143,400.5905029088669,22457000
2024-03-13,407.9414978027344,410.968369200055,404.35444900675975,410.88976201717287,17115900
2024-03-14,417.886962890625,420.4421311587594,410.7816354740665,412.9928335922281,34157300
2024-03-15,409.23876953125,415.31218703472393,405.67136478668334,412.05927102600424,45079900
2024-03-18,410.1231689453125,413.47436582893783,406.644209161319,407.10610503657034,20106000
2024-03-19,414.1427001953125,414.39822603826195,408.38374152289526,410.62442124737834,19837900
2024-03-20,417.8968505859375,418.61424242329224,413.4056537780831,414.72254166213037,17860100
2024-03-21,421.9653625488281,423.3903687989113,419.79348315302326,422.41742129377707,21296200
2024-03-22,421.3463134765625,422.44699413264203,418.72237476810477,422.2897797457437,17648500
2024-03-25,415.5676574707031,420.03920955948905,414.33921403828305,417.9066185646381,18060500
2024-03-26,414.3785095214844,418.6436612820826,414.0836951106592,418.270209700842,16725600
2024-03-27,414.1623229980469,417.13026150811925,411.78407332169564,417.1204243635022,16705000
2024-03-28,413.464599609375,414.59476162825587,411.89218593509474,413.70045116356334,21871200
2024-04-01,417.2481689453125,420.5109217375922,414.93868940887074,416.6388658317179,16316000
2024-04-02,414.17218017578125,415.0959720756304,410.6342569413904,412.8650995128624,17912000
2024-04-03,413.1992492675781,415.96078773337547,411.8626872035861,412.49166464341647,16502300
2024-04-04,410.6736145019531,421.27754806630895,410.368962888124,417.66098731056826,19370900
2024-04-05,418.18182373046875,419.15477140454254,411.1060069616712,412.76686502075876,16554800
2024-04-08,417.267822265625,419.91143485729225,416.0000602813901,417.83783679739304,14272400
2024-04-09,418.9286804199219,420.3634939121141,414.3490398303801,419.08592477391875,12496900
2024-04-10,415.96075439453125,416.7174646993385,412.46215014194587,414.90919969169937,16216600
2024-04-11,420.5502624511719,421.96543178968227,415.076310912024,418.4766641791292,17966400
2024-04-12,414.6242370605469,417.84767154999884,412.5309645735886,416.7371538463039,19253800
2024-04-15,406.5067138671875,419.4594150607099,406.30031376342345,419.2432078029309,20273500
2024-04-16,407.4305419921875,411.18467317297296,406.595224261291,407.4207348365792,16765600
2024-04-17,404.73779296875,411.6563961794374,403.25382340451443,410.0545008204045,15855500
2024-04-18,397.2982482910156,404.786864609064,396.983789567324,403.5485840383649,21029900
2024-04-19,392.237060546875,398.4873961854359,390.9103356715456,397.0623898394721,30565800
2024-04-22,394.04534912109375,395.9027700554988,388.9252051027742,393.18052011404563,20286900
2024-04-23,400.5413818359375,401.16052215978465,396.10914808184776,397.26879155025864,15734500
2024-04-24,402.0056457519531,405.3568429660157,399.76496617669443,402.4970231148721,15065300
2024-04-25,392.1584777832031,392.9938253486681,381.3383380037112,387.2348667133991,40586500
2024-04-26,399.31292724609375,405.8777219430486,398.7625869715763,405.0620486762338,29694700
2024-04-29,395.3130798339844,399.31289867869236,392.3058528379069,398.261343947103,19582100
2024-04-30,382.61590576171875,395.2246663994194,382.4586913890698,394.5662074998568,28781400
2024-05-01,388.1291809082031,394.7922572147303,383.57902141142335,385.8393454420747,23562500
2024-05-02,390.9792175292969,393.0331717328696,387.8442269050805,390.8023288399098,17709400
2024-05-03,399.64703369140625,400.1285739017596,394.9297930918896,395.3425632659736,17446700
2024-05-06,406.4084167480469,406.7916755135943,399.36205183771864,401.7108501382599,16996600
2024-05-07,402.2808532714844,407.5189532422579,402.03516456718575,407.50911609687097,20018200
2024-05-08,403.460205078125,405.1210632585712,399.6962370156749,401.1310807635334,11792300
2024-05-09,405.20947265625,405.60256858412407,402.04500095122404,403.48965172941627,14689700
2024-05-10,407.58770751953125,408.2166849740278,404.698406069441,405.8187609135271,13402300
2024-05-13,406.58526611328125,411.13542506578466,403.73528354862395,410.8012920746048,15440200
2024-05-14,409.3763427734375,410.29029755221785,404.45273155985166,404.91462752191757,15109300
2024-05-15,416.5338439941406,417.2525598208021,410.81374213755174,411.433999213995,22239500
2024-05-16,414.4761657714844,418.8376448328751,413.8460838814957,415.2736305334928,17530100
2024-05-17,413.708251953125,416.37634285020215,411.56198942365705,416.00221762948183,15352200
2024-05-20,418.75885009765625,420.16671696584166,413.4916228836326,413.7082200976142,16272100
2024-05-21,422.4016418457031,426.27082729608003,418.2764696581723,420.22581467067795,21453300
2024-05-22,423.8587341308594,425.71950537683756,420.5212017999642,423.43539455106486,18073700
2024-05-23,420.3932189941406,426.89110613989686,418.8376788510908,426.2708490423147,17211700
2024-05-24,423.5043029785156,424.39037161476875,417.84327052223153,420.58025544710625,11855300
2024-05-28,423.6618347167969,424.1540984130066,419.99939161518114,422.98250841239616,15718000
2024-05-29,422.5296325683594,424.27223522977,419.1034664398289,419.1034664398289,15517100
2024-05-30,408.25396728515625,417.7349403773821,407.8305976923989,417.7349403773821,28394500
2024-05-31,408.7068786621094,410.3018082986228,398.25120211572766,410.3018082986228,47995300
2024-06-03,407.12176513671875,409.9867435149057,402.5929630717942,409.1006748520027,17484700
2024-06-04,409.63226318359375,409.99653346155753,403.3411195872324,406.0485695449918,14348900
2024-06-05,417.4494323730469,417.51832644992857,409.85870521580796,411.3453510614717,16988000
2024-06-06,417.9515380859375,418.7293231019465,414.0724979392672,417.44944957036887,14861300
2024-06-07,417.2919616699219,419.68435613947076,416.4551073364084,419.60560716420275,13621700
2024-06-10,421.249755859375,421.45649821147657,417.3313558315188,418.1288206635897,13982900
2024-06-11,425.9853210449219,426.1231693068597,418.670289453605,418.89674157876317,14551100
2024-06-12,434.23565673828125,436.53944727057524,426.54650007534946,428.5844790234761,22366200
2024-06-13,434.7476501464844,436.52967260389505,432.5718527345657,434.02896428414414,15960600
2024-06-14,435.7222595214844,436.2834473000101,429.962768739338,431.4986289418585,13582000
2024-06-17,441.4325256347656,443.9627681496181,433.9008973733048,435.741958721063,20790000
2024-06-18,439.4339599609375,443.1751821409538,438.00641324566425,442.75181252074634,17112500
2024-06-20,438.8038635253906,439.6210080275433,434.4423844149745,439.3945559147101,19877400
2024-06-21,442.8207092285156,443.6083190884872,439.6013156180092,440.4578496032106,34187100
2024-06-24,440.7433776855469,445.74476346815527,439.50286359400394,442.84039572999666,15913700
2024-06-25,443.9726257324219,444.4353547941903,439.83759879553867,441.3143898379412,16413400
2024-06-26,445.16387939453125,446.5816011478092,441.25530470792563,442.05276943847076,16507000
2024-06-27,445.8432312011719,449.1118693221635,444.7799248025884,445.18358463488477,14806300
2024-06-28,440.0345458984375,448.3341049043701,439.50289267468526,446.059848949654,28362300
2024-07-01,449.6632080078125,450.2932899171113,438.7644825324962,441.71806471797646,17662800
2024-07-02,452.1737060546875,452.478907120072,446.099159273985,446.1877931726741,13979800
2024-07-03,453.64068603515625,453.88681788882053,450.7954174304016,451.10061852531385,9932800
2024-07-05,460.32562255859375,461.10340760685847,451.8685359116121,452.4986178155469,16000300
2024-07-08,459.02606201171875,460.4634937005408,457.27360437796756,459.33126311315795,12962300
2024-07-09,452.42974853515625,460.09919566591896,450.9135678636905,459.77431483044427,17207200
2024-07-10,459.035888671875,459.24263100795065,451.76021694759896,454.0837171765978,18196100
2024-07-11,447.6646423339844,457.58866578342753,444.5633568384772,455.81652839633193,23111200
2024-07-12,446.5323791503906,449.29889867197954,443.67725577045155,447.3003093014831,16324300
2024-07-15,446.9360656738281,450.185024234339,444.44521246679955,446.28627396172595,14429400
2024-07-16,442.5647888183594,447.27082904351875,439.74905460392523,447.19208006387777,17175700
2024-07-17,436.6575622558594,437.9670004651751,432.38471713490526,435.74195902538145,21778000
2024-07-18,433.5563049316406,437.770080793845,427.67867544192785,437.4648797185402,20794800
2024-07-19,430.34674072265625,434.31441483454387,425.3158203253179,426.39880643244663,20940400
2024-07-22,436.0865783691406,437.7208974938516,432.1189340633458,434.95437784378936,15808800
2024-07-23,437.967041015625,441.4522765923751,436.24411798255437,437.0317279223722,13107100
2024-07-24,422.2637634277344,434.649133994153,420.9740350363965,433.6350720518326,26805800
2024-07-25,411.9263000488281,423.1499075413269,411.0500861973103,422.1653800411885,29943800
2024-07-26,418.68994140625,422.28349032231534,410.8137224917234,411.7293557750341,23583800
2024-07-29,420.1273498535156,425.4634710488169,418.12876061583677,424.9022832711689,15125800
2024-07-30,416.3763427734375,422.4114705197089,410.90234276735913,421.1020622928212,32687600
2024-07-31,411.8770751953125,415.25399722383173,405.83206207673004,413.99380325758636,42891400
2024-08-01,410.65618896484375,420.84605305704525,406.69839983005807,414.2792724511176,30296400
2024-08-02,402.1695861816406,408.5788691410044,398.08380349930894,406.10769576372263,29437900
2024-08-05,389.0359802246094,394.8348607957488,379.61404618021845,383.1485258419234,40709200
2024-08-06,393.427001953125,399.3932659734361,392.33419089963513,393.8109820824443,24946500
2024-08-07,392.2652282714844,403.73496598996115,391.3200904199489,402.31727423535324,20650900
2024-08-08,396.4593200683594,399.58025493530266,393.75186986205176,396.2131882314223,20203000
2024-08-09,399.7377624511719,401.7363516629641,396.03596024402367,397.7785627439822,19276700
2024-08-12,400.515625,402.4354656198074,397.9853821448799,400.76175687200634,16762900
2024-08-13,407.6042175292969,408.52967573215994,403.23291326546496,403.2525929980432,19414300
2024-08-14,410.4101257324219,411.25683501944593,406.06838582856113,408.3820014539116,18267000
2024-08-15,415.2627258300781,415.34161674551206,411.9388929382302,414.0495635460023,20752100
2024-08-16,412.7377624511719,415.5684441235936,411.5837759699612,414.83859034033384,22775600
2024-08-19,415.7558288574219,415.97281647426513,410.7552711189502,413.22102581055816,15234000
2024-08-20,418.9810485839844,420.0265262237166,415.86436096713305,415.92353667507666,16387600
2024-08-21,418.3301086425781,420.55913050260955,415.943244764668,418.27090283610073,16067300
2024-08-22,409.85772705078125,420.94378045645306,408.9306008917766,418.5470440541718,19361900
2024-08-23,411.0807800292969,413.51694694228206,406.4451490290269,411.2681797994915,18493800
2024-08-26,407.82598876953125,411.56408163461276,405.7054455704439,410.6665432369522,13152800
2024-08-27,408.17120361328125,408.68406980179446,404.6303831532702,407.2046168469379,13492900
2024-08-28,404.9755554199219,409.315277644923,401.73061382710534,409.19692623598894,14882700
2024-08-29,407.4610900878906,416.26875999773983,404.97561980648004,409.2561670075729,17045200
2024-08-30,411.4259948730469,411.7711764633265,406.4846126518204,409.90708149754283,24308300
2024-09-03,403.8314514160156,414.1284456363182,401.45446023053216,412.18542969380115,20313600
